variable,price,country_iso,intervention,country_plot,vec,price_interv,cnt_int,mean,median,CI50_low,CI50_high,CI95_low,CI95_high
incremental cost/DALY averted (US$),200,KEN,mAb,Kenya,115,200$(mAb),"KEN
$200
mAb",7997.5,8019.2,7459,8635.3,6488.2,10248
incremental cost (million US$),100,KEN,MV,Kenya,1303000,100$(MV),"KEN
$100
MV",94.4,94.4,94.3,94.5,94.1,94.8
incremental cost/DALY (disc) averted (US$),100,KEN,MV,Kenya,167,100$(MV),"KEN
$100
MV",12045.8,12112.9,11047.5,13330.5,9402.1,16287.1
intervention cost (million US$),100,KEN,MV,Kenya,2882000,100$(MV),"KEN
$100
MV",96,96,96,96,96,96
total DALY averted (US$),100,KEN,MV,Kenya,17900,100$(MV),"KEN
$100
MV",18003.3,17900.5,16267.5,19630.8,13309,23064.2
total DALY (disc) averted (US$),100,KEN,MV,Kenya,7795,100$(MV),"KEN
$100
MV",7838.4,7795,7091.2,8536.8,5817.5,10008.5
total medical cost averted (million US$),100,KEN,MV,Kenya,1579000,100$(MV),"KEN
$100
MV",1.6,1.6,1.5,1.7,1.2,1.9
incremental cost/DALY averted (US$),100,KEN,MV,Kenya,73,100$(MV),"KEN
$100
MV",5244.6,5274.7,4804.2,5811,4079.9,7119.2
incremental cost (million US$),200,ZAF,mAb,South Africa,8369000,200$(mAb),"ZAF
$200
mAb",156.5,156.5,155.6,157.4,153.7,159.2
incremental cost/DALY (disc) averted (US$),200,ZAF,mAb,South Africa,1260,200$(mAb),"ZAF
$200
mAb",23661.5,23630.7,22226.3,25226.7,19935,28910.1
intervention cost (million US$),200,ZAF,mAb,South Africa,5103000,200$(mAb),"ZAF
$200
mAb",170,170,170,170,170,170
total DALY averted (US$),200,ZAF,mAb,South Africa,14320,200$(mAb),"ZAF
$200
mAb",14298.1,14321,13477.8,15145,11861,16728.2
total DALY (disc) averted (US$),200,ZAF,mAb,South Africa,6624,200$(mAb),"ZAF
$200
mAb",6614.1,6624,6241,7000.2,5505,7710
total medical cost averted (million US$),200,ZAF,mAb,South Africa,13470000,200$(mAb),"ZAF
$200
mAb",13.5,13.5,12.6,14.4,10.8,16.3
incremental cost/DALY averted (US$),200,ZAF,mAb,South Africa,583,200$(mAb),"ZAF
$200
mAb",10945.5,10930.1,10273.4,11681.5,9188.1,13417.9
incremental cost (million US$),100,ZAF,MV,South Africa,7766000,100$(MV),"ZAF
$100
MV",76.2,76.3,75.3,77.2,73.4,78.9
incremental cost/DALY (disc) averted (US$),100,ZAF,MV,South Africa,1649,100$(MV),"ZAF
$100
MV",16074.4,16078.1,14816.4,17531.2,12824.5,21034.1
intervention cost (million US$),100,ZAF,MV,South Africa,2597000,100$(MV),"ZAF
$100
MV",86.7,86.7,86.7,86.7,86.7,86.7
total DALY averted (US$),100,ZAF,MV,South Africa,10310,100$(MV),"ZAF
$100
MV",10298.9,10307.5,9545,11062,8087.9,12495.1
total DALY (disc) averted (US$),100,ZAF,MV,South Africa,4746,100$(MV),"ZAF
$100
MV",4742.7,4746,4402.2,5084,3749,5727.1
total medical cost averted (million US$),100,ZAF,MV,South Africa,10360000,100$(MV),"ZAF
$100
MV",10.4,10.4,9.5,11.3,7.8,13.2
incremental cost/DALY averted (US$),100,ZAF,MV,South Africa,759,100$(MV),"ZAF
$100
MV",7402.4,7403,6809.5,8085.6,5878,9749.9
